"Link","Type","Author","Date","Content","Id","Hashtag","Category"
"https://www.facebook.com/groups/1090221011099368/?multi_permalinks=7485689518219120&hoisted_section_header_type=recently_seen&__cft__[0]=AZWa2sa3NKkTPVqV-gT2scURHhckT7F-gyhS_aD9ub6X5OhsPBscYZGmwNUzgem4JLNXAhj9_bjHhxzXiYSlPbwCppr-NnnVIjZYUy5Zl1cIQbVuI8gPv2tISMN3fiMxFSB_-Kvvh1yWWRVmzkALEsblVQujoMwfey8apvaSyBxjeMjqAt5irX5mwIbs5bTZBY7sADL-4Up1WBSbfRIZojwWckErlk0oIV481WhlkW3L3w&__tn__=%2CO%2CP-R","Facebook post","Zain Jutt/Blockchain Technology","15-05-2024","i am blockchain developer having 4 years experience 
my services 
1 Token Development … See more","1090221011099368/7485689518219120","","group-post, contains-image, not-contain-hashtag"
"https://www.facebook.com/groups/1212378272190328/?multi_permalinks=7418516118243148&hoisted_section_header_type=recently_seen&__cft__[0]=AZVHZpZ-sgT_wYzzHTYlrVvd1JUusLTVzoeJ6SSBSDbxGWyKD70QpO4N8k35wh32HjhA4UMGaykMNH17HUlihSytynUtFTjCJQ-7Lzj1_mElNsRDZH_BBUgxUJM8PqAx-qrPzivJK38xgmKJGSfvgF17OqPSTC8KL6AOqaOQ0siCkIVgJfTFHLsYCxrGrX-jB4XOyGVxW5zWsysBq5h51xX1&__tn__=%2CO%2CP-R","Facebook post","Jeff Rey/Blockchain Developers","10-05-2024","Blockchain Developers Needed For Freelance Projects. Please Message Me If Interested","1212378272190328/7418516118243148","","group-post, contains-image, not-contain-hashtag"
"https://www.facebook.com/blockchain/posts/pfbid0VSm1Ybfo1oerADB5t19DUUARdPFhXDiGRnNk3dtFvNBgKLCfwZV8nroGs9srJP3kl?__cft__[0]=AZX8fnMoYvlnufajA7pfM4zbmybQ80DyOrGuDY2NU9ULPT5V95N7KitHAuhChyKEvFtzzoSHYnBlpeI8-yieTyao6APLcg0mwY0U3SCalT9bPtWm18xExlZeZT-70Iwr9JhQLhyOWKMSyaccUgNAgh4iT7IdEclMthskd5puWNtKmMuf4G7eSiHrMpaAJXqbGmjh_l4lfOr0voCCbRwiWJdx&__tn__=%2CO%2CP-R","Facebook post","Blockchain.com","13-05-2024","No cheating...
What was the last crypto you sold?","pfbid0VSm1Ybfo1oerADB5t19DUUARdPFhXDiGRnNk3dtFvNBgKLCfwZV8nroGs9srJP3kl","","personal-post, contains-image, not-contain-hashtag"
"https://www.facebook.com/blockchain/posts/pfbid055ueCgfShR3tNTxxEMdKiDEVAK95nzdz4E8HZZ23LbCAiAuN75LGTnypBBMwrso3l?__cft__[0]=AZW55ckEgcgzlxbMwq6UlqjVczfb2fmmqzybvShCE_Uh0V_6AcBnCtTYRtRJ-X854VC1PPCUCJE8PKwroXhkdciDsT6JdQrWL0GpQVUaLde5nfUE5J60HWL9N4ZnSDh54soQS8Q74Zy5zMkb0tVKIP9pvm9f-RAPaPIIY69TIXWeZY1WMS2yHr4bvT9CEoqff9sR0uPTXHv9mW98mlvLEc1N&__tn__=%2CO%2CP-R","Facebook post","Blockchain.com","13-05-2024","GM
$BTC
$62,857
+3.03% in 24h
$ETH
$2,976
+1.93% in 24h","pfbid055ueCgfShR3tNTxxEMdKiDEVAK95nzdz4E8HZZ23LbCAiAuN75LGTnypBBMwrso3l","","personal-post, contains-image, not-contain-hashtag"
"https://www.facebook.com/blockchain/posts/pfbid0SoY9UFmzWeseM2cWxyGhhia6Avsj2xtTM59LKQ2hKuQvNqM85p5EiuYs3q3hojZjl?__cft__[0]=AZXXWBGjIYtu-Ysi3dO_bjpEJPrNas8lLQAQGJLPUz0qc76uvIi9bRDuOb9RWh0TYkIIwMpZU3oahqsc4qCA2pB30KNBraeZacIDXsSEE4ilEANT15QKNYIuei0pc5NeBtP_hfBX-Xdx8jEbN-WXjnFOmqQ-JzI1CcHasu2l44i0hxqpEdX4ZNga8-Jvzrg394haSaWChYlH2-VKlW9Cr7cT&__tn__=%2CO%2CP-R","Facebook post","Blockchain.com","04-05-2024","what crypto are you keeping a close eye on?","pfbid0SoY9UFmzWeseM2cWxyGhhia6Avsj2xtTM59LKQ2hKuQvNqM85p5EiuYs3q3hojZjl","","personal-post, contains-image, not-contain-hashtag"
"https://www.facebook.com/bnbcold/posts/pfbid02dsh5TV5Y4BZLUp2uLwPqLpgbFBuKzQcAoj3CbLkLr5ZcFRYZnoMLsr7icHtyKfZ9l?__cft__[0]=AZW76n-u04wEOuHMT7wCbxFxBjNffjMK2m-BYoY7RzlHZhC_SSbibO3DN6ofyUgThLVkdRDFSOhneY-G2klg8sVYnjxmyWMc1KoR_WzBtZUYJySBOWkkvyNi9gdESisLpdebsC9h6jQG2kKO3lPkH2fCUB2vah-HzA3GFr6pUVvH8MInbElVF9TpRCs2EZZ4ZeE_aGa0cCjYBEbo2JAB6mEZ&__tn__=%2CO%2CP-R","Facebook post","BNB Cold Wallet","10-05-2024"," Join us to mine COLD Token for FREE on Cold Wallet!
 Are you ready to explore this special opportunity? Join now to mine COLD tokens for free on our Cold Wallet!
 In addition to protecting your assets, Cold Wallet offers you a unique chance to earn COLD tokens daily. Open the wallet and start mining!
 … See more","pfbid02dsh5TV5Y4BZLUp2uLwPqLpgbFBuKzQcAoj3CbLkLr5ZcFRYZnoMLsr7icHtyKfZ9l","","personal-post, contains-image, not-contain-hashtag"
"https://www.facebook.com/blockchain/posts/pfbid02yrC9gcwt39KZXQUtqQfpzHQGZEx94LSst9YN4ZQk8NJJ2d88EXUqyXtB6BTns8yWl?__cft__[0]=AZV3ZXIHWN2oPPa9nGJA80lNFSBMpwacHTg2J7VYvQ0pUJnYf6XyAtfsdgb4_5cahdCwBDdOExYnnge0Qw139DnDXsUDMRjhzR76nI3HC5MH4qpXCanWUyORMQE73r8vAOAcNjHD4nDPV5qgZd21BVXkoQ8RIor0D209dqS555FHQM_mAuIrR-YX4fGcGtVHyJeDCSmHShefNFbe3XwhQJ_T&__tn__=%2CO%2CP-R","Facebook post","Blockchain.com","14-05-2024","gm","pfbid02yrC9gcwt39KZXQUtqQfpzHQGZEx94LSst9YN4ZQk8NJJ2d88EXUqyXtB6BTns8yWl","","personal-post, contains-image, not-contain-hashtag"
"https://www.facebook.com/blockchain/posts/pfbid02hpbZFWeFks1gmqDCaVupXihxCWLR945eEcjxqD9aoLvgnu5K3PRNfQS5JFsLiG84l?__cft__[0]=AZVh56NpqDHukVHFY7ZLkFKb0AdUfQTpotn85L3gQALhm5ks5zr_R4IZdPid20oAF7rFWNDFRyYtZmF4un4k1xvgb-4qpbov1-7pLogbyAc1Sxcr5ij7Mge-y0s5tiBSyN7fgQMRRBpHVV7thhnmfwAGhjXYWVypWtHs7occfftOAjkNqeZiwCJwM74X4MpqTAHjPz7xYmd9nuaUehvef0xX&__tn__=%2CO%2CP-R","Facebook post","Blockchain.com","12-05-2024","Which cryptocurrency do you think is the most underrated?","pfbid02hpbZFWeFks1gmqDCaVupXihxCWLR945eEcjxqD9aoLvgnu5K3PRNfQS5JFsLiG84l","","personal-post, contains-image, not-contain-hashtag"
"https://www.facebook.com/blockchain/posts/pfbid0TkgtMNH5VvBKPP4jhAcbwA6WNofFEDptDiwDRLUS7L9MFvtjypLwWRwnbYWcvB5pl?__cft__[0]=AZWY5SeZQOSHBq3a-JNXV4Yk6J7HwaHjtAZaSvF_q2sfEF1F6Z-EaJN8Jn7GzabcMkbnctxEJpVat0gyvTyzd2GGzQlwhiBu3IcV8mMRX8AWg7bIDcRoH4mtuslKIoi5eePFOrtCDk4gR5GJBo3QP-l2C44k0pwTWM5iJov1eDBCzIsirWehX5XUJcqsX01f7EV12urZMzykbUWVKRVhWaP0&__tn__=%2CO%2CP-R","Facebook post","Blockchain.com","27-04-2024","i love crypto because __________","pfbid0TkgtMNH5VvBKPP4jhAcbwA6WNofFEDptDiwDRLUS7L9MFvtjypLwWRwnbYWcvB5pl","","personal-post, contains-image, not-contain-hashtag"
"https://www.facebook.com/srpcoin/posts/pfbid0kabB6Qb9Qi5xmNSdeTpT1kQykwwjZq1uLyejGTSKCFdYsgqKA4odcSGGLE3fPjCNl?__cft__[0]=AZXmdbx5wyXJZhysDeAIBfSUdp39RsK-lET25ueiWcMiezokbPBjMXZBN52sIot7ytAeHu5pYpa6_AnvHb_SQWrMs4rzHfuUP1rU_mhyIXIuv7Pn4gHR60RcaFzuiQm8TURKp3qASYB7dvwWDfoNZLgopUlkAopC6nEXzk4XGteBxaDMi5GtBw4iQJaPcb0qeCojISRsQIKHW0A3f0LY_qRB&__tn__=%2CO%2CP-R","Facebook post","SRP Coin","06-05-2024","Unlocking endless possibilities: Discover the transformative benefits of blockchain technology. 
#SRP #DeFi #Depin #crypto #SRPCoin #SRPCoin #srptoken #Blockchain #cryptocurrency","pfbid0kabB6Qb9Qi5xmNSdeTpT1kQykwwjZq1uLyejGTSKCFdYsgqKA4odcSGGLE3fPjCNl","#SRP, #DeFi, #Depin, #crypto, #SRPCoin, #SRPCoin, #srptoken, #Blockchain, #cryptocurrency","personal-post, contains-image, contains-hashtag"
